"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"155","","","","","","","https://www.google.com/maps/place/Tony's+Di+Napoli,+147+W+43rd+St,+New+York,+NY+10036,+USA/@40.7418161,-74.0930698,10z/data=!4m5!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m1!1s0x89c2585523aa2d55:0x831dafc2627c8d16?hl=en",
"154","Bondi Sushi","6 W 28th St, New York, NY 10001, USA","bondisushi.com","P2V6+WQ New York, USA","4.1","(114)","https://www.google.com/maps/place/Bondi+Sushi/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c259a612981207:0x4b4952f9d316e1d7!8m2!3d40.744766!4d-73.9881222?hl=en",
"153","Russ & Daughters Cafe","127 Orchard St, New York, NY 10002, USA","russanddaughterscafe.com","P296+V5 New York, USA","4.6","(1,671)","https://www.google.com/maps/place/Russ+%26+Daughters+Cafe/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25986daaa7ce7:0x7a4f998a3fd281a8!8m2!3d40.7196441!4d-73.9895879?hl=en",
"152","Richie Rich Caribbean Taste","259 W 1st St, Mt Vernon, NY 10550, USA","richierichhq.com","W552+7X Mt Vernon, Pelham, NY, USA","4.2","(171)","https://www.google.com/maps/place/Richie+Rich+Caribbean+Taste/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2f2cc016703c9:0x3ce62bea25401619!8m2!3d40.9081614!4d-73.8476185?hl=en",
"151","","","","","","","https://www.google.com/maps/place/Per+Se,+10+Columbus+Cir,+New+York,+NY+10019,+USA/@40.7418161,-74.0930698,10z/data=!4m5!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m1!1s0x89c258f62fec73a7:0x5e24118dffac8a65?hl=en",
"150","","","","","","","https://www.google.com/maps/place/Butler+Bake+Shop+and+Espresso+Bar,+95+S+5th+St,+Brooklyn,+NY+11249,+USA/@40.7418161,-74.0930698,10z/data=!4m5!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m1!1s0x89c25bdf47e863bd:0x69d9b973183f303d?hl=en",
"149","","","","","","","https://www.google.com/maps/place/Fish+Cheeks,+55+Bond+St,+New+York,+NY+10012,+USA/@40.7418161,-74.0930698,10z/data=!4m5!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m1!1s0x89c259853cdfce81:0x9fddf144feac940?hl=en",
"148","","","","","","","https://www.google.com/maps/place/Sushi+By+Bou,+132+W+47th+St,+New+York,+NY+10036,+USA/@40.7418161,-74.0930698,10z/data=!4m5!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m1!1s0x89c25855892296c7:0x7ffb9ad736aa6403?hl=en",
"147","il Buco","47 Bond St, New York, NY 10012, USA","ilbuco.com","P2G4+8R New York, USA","4.3","(428)","https://www.google.com/maps/place/il+Buco/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c259853c10b9ad:0x879a872abb01902d!8m2!3d40.7258309!4d-73.9929975?hl=en",
"146","BONDST","6 Bond St, New York, NY 10012, USA","bondstrestaurant.com","P2G4+R7 New York, USA","4.5","(434)","https://www.google.com/maps/place/BONDST/@40.7418161,-74.0930698,10z/data=!4m8!1m2!2m1!1sresturant+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c259855438bbb1:0xe34ae3f4a761f5e5!8m2!3d40.727045!4d-73.9943246?hl=en",
"145","NewYork-Presbyterian Brooklyn Methodist Hospital Faculty Practice","263 7th Ave, Brooklyn, NY 11215, USA","nym.org","M29C+H5 New York, USA","3.8","(15)","https://www.google.com/maps/place/NewYork-Presbyterian+Brooklyn+Methodist+Hospital+Faculty+Practice/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25b03b0fe1b53:0x392f10ffaf080543!8m2!3d40.6688784!4d-73.9795118?hl=en",
"144","NYC Health + Hospitals/Queens: Emergency Room","82-68 164th St, Jamaica, NY 11432, USA","nychealthandhospitals.org","P58W+X7 New York, USA","2.1","(20)","https://www.google.com/maps/place/NYC+Health+%2B+Hospitals%2FQueens:+Emergency+Room/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c260e5a89f370d:0xfbd7a55ddeff8135!8m2!3d40.7174553!4d-73.8043343?hl=en",
"143","New York Eye and Ear Infirmary of Mount Sinai","310 E 14th St, New York, NY 10003, USA","nyee.edu","P2J8+P5 New York, USA","2.9","(200)","https://www.google.com/maps/place/New+York+Eye+and+Ear+Infirmary+of+Mount+Sinai/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2599e3f466b15:0x6262dd43ac578352!8m2!3d40.7318525!4d-73.9845832?hl=en",
"142","White Plains Hospital-Emergency Department","41 E Post Rd, White Plains, NY 10601, USA","wphospital.org","26GJ+85 White Plains, New York, USA","3.7","(139)","https://www.google.com/maps/place/White+Plains+Hospital-Emergency+Department/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c29438c47ff9e3:0xbf51e294b60fa448!8m2!3d41.0258409!4d-73.7695526?hl=en",
"141","NewYork-Presbyterian Brooklyn Methodist Hospital","1910 Nostrand Ave, Brooklyn, NY 11226, USA","nym.org","J3Q2+JG New York, USA","4.5","(4)","https://www.google.com/maps/place/NewYork-Presbyterian+Brooklyn+Methodist+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25b4fcd1fea65:0xd5e46e99a1bb69c5!8m2!3d40.639045!4d-73.9486519?hl=en",
"140","NewYork-Presbyterian Lower Manhattan Hospital","170 William St, New York, NY 10038, USA","nyp.org","PX6V+4X New York, USA","3.6","(216)","https://www.google.com/maps/place/NewYork-Presbyterian+Lower+Manhattan+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25a2297198aa5:0x92da9e7eb069aebf!8m2!3d40.7103343!4d-74.00508?hl=en",
"139","Brooklyn Spine & Arthritis Center","263 7th Ave, Brooklyn, NY 11215, USA","nym.org","M29C+H5 New York, USA","5.0","(3)","https://www.google.com/maps/place/Brooklyn+Spine+%26+Arthritis+Center/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25b03b3d0d82b:0x30603f96110831fa!8m2!3d40.6688784!4d-73.9795119?hl=en",
"138","Hss","E 70th St, New York, NY 10021, USA","hss.edu","Q28W+3R New York, USA","4.3","(6)","https://www.google.com/maps/place/Hss/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c258c404cda253:0x42311b0071b6a8e2!8m2!3d40.7652179!4d-73.952895?hl=en",
"137","Interfaith Medical Center","1545 Atlantic Ave, Brooklyn, NY 11213, USA","interfaithmedical.com","M3H7+C3 Brooklyn, New York, USA","2.3","(158)","https://www.google.com/maps/place/Interfaith+Medical+Center/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25b87ebc5913d:0x65961b58ecb976f9!8m2!3d40.6785493!4d-73.9373553?hl=en",
"136","Catholic Health Services of Long Island","992 N Village Ave, Rockville Centre, NY 11570, USA","chsli.org","M9P9+GP Rockville Centre, Hempstead, NY, USA","4.8","(4)","https://www.google.com/maps/place/Catholic+Health+Services+of+Long+Island/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c27cc0a28f0a59:0x5997faa75c019f7c!8m2!3d40.686375!4d-73.630677?hl=en",
"135","NewYork-Presbyterian Brooklyn Methodist Hospital","506 6th St, Brooklyn, NY 11215, USA","nyp.org","M29C+49 Brooklyn, New York, USA","3.3","(369)","https://www.google.com/maps/place/NewYork-Presbyterian+Brooklyn+Methodist+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c25b0308fc5d81:0x7ff8f97dda1eaef3!8m2!3d40.6678679!4d-73.9791231?hl=en",
"134","Richmond University Medical Center","355 Bard Ave, Staten Island, NY 10310, USA","rumcsi.org","JVPV+FQ Staten Island, New York, USA","2.2","(203)","https://www.google.com/maps/place/Richmond+University+Medical+Center/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c24e13638c0ddf:0xf008a51b5f3d9e3e!8m2!3d40.6361354!4d-74.1055624?hl=en",
"133","Montefiore Medical Center Moses Division","111 E 210th St, The Bronx, NY 10467, USA","montefiore.org","V4JC+74 The Bronx, New York, USA","3.5","(330)","https://www.google.com/maps/place/Montefiore+Medical+Center+Moses+Division/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2f30d1c212ae7:0xbe0664e95268c8fc!8m2!3d40.8806538!4d-73.8797151?hl=en",
"132","The Valley Hospital","223 N Van Dien Ave, Ridgewood, NJ 07450, USA","valleyhealth.com","XVMX+HQ Ridgewood, New Jersey, USA","3.2","(160)","https://www.google.com/maps/place/The+Valley+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2e4b8aa8a0f1b:0x827c9f66a91a3027!8m2!3d40.9838774!4d-74.1005112?hl=en",
"131","North Shore University Hospital","300 Community Dr, Manhasset, NY 11030, USA","northwell.edu","Q7GX+FF Manhasset, North Hempstead, NY, USA","3.7","(344)","https://www.google.com/maps/place/North+Shore+University+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c289b53192463d:0xff195b2a75d11cf6!8m2!3d40.7761856!4d-73.7012865?hl=en",
"130","Calvary Hospital","1740 Eastchester Rd, The Bronx, NY 10461, USA","calvaryhospital.org","R5X4+69 The Bronx, New York, USA","3.9","(94)","https://www.google.com/maps/place/Calvary+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2f4ac983863c3:0x2d3b06c3915b8e66!8m2!3d40.8480084!4d-73.8440486?hl=en",
"129","Mount Sinai Kravis Children's Hospital","1184 5th Ave, New York, NY 10029, USA","mountsinai.org","Q2RW+2C New York, USA","4.3","(42)","https://www.google.com/maps/place/Mount+Sinai+Kravis+Children's+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c258a0afc597ef:0x26f63a2692c148a9!8m2!3d40.7900948!4d-73.953917?hl=en",
"128","The Mount Sinai Hospital","1468 Madison Ave, New York, NY 10029, USA","mountsinai.org","Q2QW+WR New York, USA","3.9","(296)","https://www.google.com/maps/place/The+Mount+Sinai+Hospital/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2f63dcaeeda93:0x9797c11e6d7bc63f!8m2!3d40.7898107!4d-73.9528799?hl=en",
"127","Mount Sinai Beth Israel","281 1st Avenue, New York, NY 10003, USA","mountsinai.org","P2M9+66 New York, USA","3.5","(223)","https://www.google.com/maps/place/Mount+Sinai+Beth+Israel/@40.7424936,-74.0930671,10z/data=!4m8!1m2!2m1!1sHostpitals+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!3m4!1s0x89c2599fa57874bf:0x747a17c9c9c3e88c!8m2!3d40.7330663!4d-73.9819259?hl=en",
"126","Soho Art Materials","36 Gardner Ave #2, Brooklyn, NY 11237, USA","sohoartmaterials.com","P35G+CF Brooklyn, New York, USA","4.1","(25)","https://www.google.com/maps/place/Soho+Art+Materials/@40.7431712,-74.0930644,10z/data=!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c25ea7dc2617b3:0x9a1932182a60efee!8m2!3d40.708612!4d-73.9238431?hl=en",
"125","Barnes & Noble","91 Old Country Rd, Carle Place, NY 11514, USA","stores.barnesandnoble.com","P9VH+9W Carle Place, North Hempstead, NY, USA","4.6","(900)","https://www.google.com/maps/place/Barnes+%26+Noble/@40.7431712,-74.0930644,10z/data=!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c287881d21c1d1:0x70cfcf2755cb3a1!8m2!3d40.7434877!4d-73.6202298?hl=en",
"124","IT'SUGAR NoHo","665 Broadway, New York, NY 10012, USA","itsugar.com","P2G3+WR New York, USA","4.4","(148)","https://www.google.com/maps/place/IT'SUGAR+NoHo/@40.7431712,-74.0930644,10z/data=!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c2599002c78317:0x4368cd72bf3f09f8!8m2!3d40.727334!4d-73.9954157?hl=en",
"123","Li-Lac Chocolates - Chelsea Market","75 9th Avenue(at, W 15th St, New York, NY 10011, USA","li-lacchocolates.com","PXRV+VQ New York, USA","3.5","(24)","https://www.google.com/maps/place/Li-Lac+Chocolates+-+Chelsea+Market/@40.7431712,-74.0930644,10z/data=!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c259bf6833d095:0xf6463a9444912dd6!8m2!3d40.742149!4d-74.005513?hl=en",
"122","Whole Foods Market","95 E Houston St, New York, NY 10002, USA","wholefoodsmarket.com","P2F5+G3 New York, USA","4.2","(1,661)","https://www.google.com/maps/place/Whole+Foods+Market/@40.7431712,-74.0930644,10z/data=!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c25985af949c43:0x67ae9aa3c97ec36c!8m2!3d40.7238246!4d-73.9923102?hl=en",
"121","Li-Lac Chocolates","109 E 42nd St, New York, NY 10017, USA","li-lacchocolates.com","Q22F+XG New York, USA","4.1","(49)","https://www.google.com/maps/place/Li-Lac+Chocolates/@40.7431712,-74.0930644,10z/data=!3m1!5s0x89c2590220b4c1bf:0x7edf0a3a958117fb!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c259022d712db1:0xdd212a1db4a83731!8m2!3d40.7523809!4d-73.9762393?hl=en",
"120","OddFellows Ice Cream Co. The Sandwich Shop","75 E 4th St, New York, NY 10003, USA","oddfellowsnyc.com","P2G5+MW New York, USA","4.4","(199)","https://www.google.com/maps/place/OddFellows+Ice+Cream+Co.+The+Sandwich+Shop/@40.7431712,-74.0930644,10z/data=!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c2599b4a38c9bd:0x1804996064638ab1!8m2!3d40.7267493!4d-73.9902053?hl=en",
"119","Butler Bake Shop and Espresso Bar","95 S 5th St, Brooklyn, NY 11249, USA","butler-nyc.com","P26P+M5 Brooklyn, New York, USA","4.7","(223)","https://www.google.com/maps/place/Butler+Bake+Shop+and+Espresso+Bar/@40.7431712,-74.0930644,10z/data=!4m9!1m3!2m2!1sshops+14+N+Bond+St,+Mount+Vernon,+NY+10550,+USA!6e6!3m4!1s0x89c25bdf47e863bd:0x69d9b973183f303d!8m2!3d40.711739!4d-73.9645925?hl=en",
